Var1,Var2,Q1,R1
2,1,1.0,
3,1,0.4082482904638631,-0.47140452079103173
3,2,0.6123724356957946,0.5590169943749475
4,1,0.6666666666666666,0.47140452079103173
4,2,0.6123724356957946,0.5594309277855158
4,3,0.55,0.31754264805429416
5,1,-0.16666666666666666,-0.3535533905932738
5,2,0.2182178902359924,0.7200822998230956
5,3,0.31622776601683794,0.3563483225498992
5,4,0.31622776601683794,0.5006939628599933
6,1,0.6666666666666666,0.47140452079103173
6,2,0.6666666666666666,
6,3,0.6123724356957946,0.16666666666666666
6,4,1.0,1.0
6,5,0.16666666666666666,0.4166666666666667
7,1,-0.6123724356957946,-0.47140452079103173
7,2,0.05976143046671968,0.5590169943749475
7,3,0.55,0.5555555555555556
7,4,0.0,0.408248290463863
7,5,0.7745966692414834,0.8017837257372732
7,6,-0.4082482904638631,0.16666666666666666
8,1,0.6666666666666666,-0.3535533905932738
8,2,0.769800358919501,0.5773502691896257
8,3,0.8017837257372732,0.6928203230275508
8,4,0.8017837257372732,0.4666666666666667
8,5,0.5,0.5185449728701348
8,6,1.0,0.4166666666666667
8,7,0.31622776601683794,0.408248290463863
9,1,-0.6123724356957946,0.3535533905932738
9,2,0.0,0.5916079783099616
9,3,0.35,0.408248290463863
9,4,0.35,0.7302967433402214
9,5,0.6,0.408248290463863
9,6,-0.4082482904638631,0.75
9,7,0.8,0.5416666666666666
9,8,0.2182178902359924,0.533001790889026
10,1,0.4082482904638631,0.3535533905932738
10,2,0.2182178902359924,0.15811388300841897
10,3,0.3779644730092272,0.2608745973749754
10,4,0.3535533905932738,0.6333333333333333
10,5,-0.47140452079103173,0.31622776601683794
10,6,0.6123724356957946,0.75
10,7,-0.3535533905932738,0.3563483225498992
10,8,0.29277002188455997,0.26666666666666666
10,9,-0.3535533905932738,0.816496580927726
11,1,0.16666666666666666,0.47140452079103173
11,2,0.4090909090909091,0.7302967433402214
11,3,0.10206207261596577,0.42600643361512924
11,4,0.10206207261596577,0.8528028654224417
11,5,0.7637626158259734,0.6388888888888888
11,6,-0.16666666666666666,1.0
11,7,0.5976143046671968,0.408248290463863
11,8,0.24056261216234406,0.4472135954999579
11,9,0.5,0.65
11,10,-0.6546536707079772,0.4485426135725303
12,1,0.6666666666666666,
12,2,0.5,0.38575837490522974
12,3,0.55,-0.19364916731037085
12,4,0.31622776601683794,-0.05773502691896257
12,5,-0.06666666666666667,0.047619047619047616
12,6,0.16666666666666666,-0.16666666666666666
12,7,0.0,0.2182178902359924
12,8,0.2182178902359924,-0.3
12,9,-0.1,0.25819888974716115
12,10,0.3779644730092272,-0.15811388300841897
12,11,0.0,0.1111111111111111
14,1,-0.16666666666666666,0.3535533905932738
14,2,0.10112997936948631,0.43082021842766455
14,3,0.0,-0.3
14,4,-0.408248290463863,0.14907119849998599
14,5,-0.2182178902359924,0.3
14,6,-0.6666666666666666,0.16666666666666666
14,7,-0.1,0.1111111111111111
14,8,-0.14907119849998599,0.1706971854997297
14,9,-0.2,0.07537783614444091
14,10,-0.3779644730092272,-0.14907119849998599
14,11,0.12171612389003691,0.3333333333333333
14,12,-0.2,0.5666666666666667
15,1,-0.6123724356957946,0.47140452079103173
15,2,0.03289758474798845,0.16666666666666666
15,3,0.25,0.14085904245475275
15,4,0.0,0.2581988897471611
15,5,0.6546536707079772,0.09128709291752768
15,6,-0.4082482904638631,0.4166666666666667
15,7,0.8,0.19245008972987526
15,8,0.14907119849998599,0.29012942659282975
15,9,0.6,0.7385489458759964
15,10,-0.2182178902359924,0.4666666666666667
15,11,0.4605661864718383,0.2886751345948129
15,12,0.0,0.2253744679276044
15,14,-0.09759000729485333,0.03268602252303067
16,1,1.0,0.47140452079103173
16,2,0.778498944161523,0.32732683535398854
16,3,0.3563483225498992,0.14085904245475275
16,4,0.3563483225498992,0.5163977794943222
16,5,0.047619047619047616,0.5185449728701348
16,6,0.6666666666666666,1.0
16,7,-0.15811388300841897,0.19245008972987526
16,8,0.5416666666666666,0.5367394391967351
16,9,-0.2182178902359924,0.6446583712203042
16,10,0.29277002188455997,0.8333333333333334
16,11,0.2182178902359924,0.5443310539518174
16,12,0.2182178902359924,-0.14085904245475275
16,14,0.3373495424699933,0.3105172139687914
16,15,-0.14085904245475275,0.5277777777777778
18,1,0.6666666666666666,0.47140452079103173
18,2,0.7453559924999299,0.6666666666666666
18,3,0.7745966692414834,0.38575837490522974
18,4,1.0,1.0
18,5,0.4666666666666667,0.55
18,6,1.0,1.0
18,7,0.16666666666666666,0.38575837490522974
18,8,1.0,0.6071428571428571
18,9,0.16666666666666666,0.8017837257372732
18,10,0.3535533905932738,0.55
18,11,0.14907119849998599,1.0
18,12,0.4666666666666667,0.0
18,14,-0.4666666666666667,0.38575837490522974
18,15,0.06666666666666667,0.3105295017040594
18,16,0.4666666666666667,0.6900655593423543
19,1,-0.6123724356957946,0.3535533905932738
19,2,0.10112997936948631,0.6030226891555273
19,3,0.408248290463863,0.5555555555555556
19,4,0.0,0.6123724356957946
19,5,0.6546536707079772,0.4403855060505443
19,6,-0.4082482904638631,0.75
19,7,0.8,0.5416666666666666
19,8,0.2608745973749754,0.28941438070815306
19,9,0.6,0.8257228238447705
19,10,-0.29277002188455997,0.6708203932499369
19,11,0.5547001962252291,0.8320502943378436
19,12,-0.2,0.25819888974716115
19,14,0.37777777777777777,0.09245003270420485
19,15,0.5367450401216932,0.5447047794019222
19,16,0.35355339059327373,0.49099025303098287
19,18,0.06666666666666667,0.8017837257372732
20,1,-0.6123724356957946,-0.3535533905932738
20,2,0.0,0.4666666666666667
20,3,0.408248290463863,0.31754264805429416
20,4,-0.1,0.025
20,5,0.6324555320336759,0.408248290463863
20,6,-0.4082482904638631,-0.16666666666666666
20,7,0.8,0.6831300510639732
20,8,0.2182178902359924,0.025
20,9,0.55,0.11952286093343936
20,10,-0.29277002188455997,0.06900655593423542
20,11,0.5,0.15811388300841897
20,12,-0.1,0.38575837490522974
20,14,0.2,0.31754264805429416
20,15,0.408248290463863,-0.21957751641341997
20,16,0.2182178902359924,-0.21957751641341997
20,18,0.06666666666666667,0.06900655593423542
20,19,1.0,0.29277002188455997
21,1,0.16666666666666666,-0.2581988897471611
21,2,0.3888888888888889,0.8539125638299666
21,3,0.10206207261596577,0.6928203230275508
21,4,0.05976143046671968,0.5773502691896257
